	total_counts
120314	3188761
120322	7939673
120328	2724713
120403	1527033
120416	1100751
120419	3002033
120423	616223
120516	588982
120531	2858808
120604	656206
120613	2612753
120619	5560487
120628	1163389
120705	1461951
120709	959571
120717	449684
120802	2966063
120806	1316123
120813	6108592
120820	3304587
120823	7355511
120828	839431
120903	654825
120920	8055165
120924	11081614
121001	5431823
121004	1367313
121015	6698315
121022	3323704
121028	1825902
121105	1184020
121128	3262281
121220	8409507
