transporter	120516	120613	120712	120813	120927	121024	121220	130123	130226	130403	130416	130422	130507	130605	130705	130815	130905	131003	140408	140506	140604	140709	140820	140916	141013
T37	98.0	131.0	93.0	208.0	126.0	137.0	270.0	351.0	138.0	69.0	62.0	49.0	84.0	204.0	116.0	34.0	56.0	79.0	11.0	16.0	66.0	162.0	154.0	59.0	69.0
T7	538.0	120.0	813.0	448.0	609.0	776.0	629.0	1537.0	864.0	1478.0	903.0	979.0	378.0	2088.0	392.0	351.0	331.0	338.0	840.0	601.0	239.0	678.0	719.0	346.0	565.0
T71	447.0	177.0	684.0	403.0	333.0	401.0	295.0	568.0	295.0	193.0	738.0	841.0	544.0	1029.0	410.0	241.0	557.0	409.0	226.0	203.0	338.0	542.0	1014.0	283.0	473.0
T56	366.0	67.0	563.0	120.0	215.0	204.0	191.0	485.0	380.0	512.0	910.0	1506.0	149.0	1703.0	1039.0	107.0	157.0	163.0	860.0	2229.0	159.0	589.0	191.0	239.0	474.0
T18	1324.0	1906.0	297.0	102.0	774.0	376.0	230.0	465.0	601.0	693.0	267.0	337.0	113.0	114.0	81.0	18.0	34.0	53.0	160.0	113.0	168.0	26.0	102.0	76.0	201.0
T5	493.0	416.0	562.0	388.0	688.0	753.0	766.0	1353.0	629.0	686.0	446.0	788.0	462.0	1072.0	932.0	272.0	333.0	227.0	252.0	48.0	295.0	1431.0	985.0	478.0	393.0
T67	121.0	119.0	138.0	97.0	158.0	152.0	111.0	247.0	110.0	103.0	160.0	238.0	105.0	558.0	247.0	74.0	48.0	118.0	105.0	442.0	60.0	234.0	169.0	96.0	216.0
T40	103.0	100.0	164.0	137.0	346.0	381.0	495.0	2532.0	295.0	135.0	197.0	402.0	148.0	160.0	120.0	204.0	91.0	112.0	44.0	1.0	20.0	266.0	308.0	120.0	114.0
T388	229.0	327.0	237.0	171.0	312.0	384.0	340.0	724.0	350.0	376.0	172.0	271.0	178.0	474.0	608.0	293.0	95.0	103.0	78.0	12.0	211.0	919.0	384.0	218.0	211.0
T761	199.0	291.0	427.0	175.0	411.0	499.0	662.0	1380.0	459.0	391.0	487.0	353.0	124.0	234.0	535.0	374.0	282.0	113.0	83.0	18.0	168.0	535.0	560.0	325.0	253.0
T12	85.0	103.0	203.0	159.0	142.0	150.0	179.0	120.0	79.0	51.0	121.0	164.0	170.0	1362.0	510.0	111.0	32.0	76.0	125.0	1047.0	181.0	295.0	202.0	114.0	128.0
T35	128.0	143.0	206.0	188.0	208.0	316.0	238.0	419.0	197.0	116.0	184.0	213.0	187.0	374.0	323.0	109.0	102.0	84.0	136.0	799.0	94.0	231.0	151.0	150.0	161.0
T27	208.0	91.0	349.0	280.0	232.0	322.0	252.0	415.0	173.0	113.0	246.0	453.0	289.0	836.0	163.0	130.0	224.0	175.0	82.0	15.0	117.0	210.0	228.0	217.0	280.0
T724	248.0	100.0	395.0	166.0	304.0	325.0	261.0	604.0	226.0	149.0	320.0	548.0	379.0	1163.0	136.0	132.0	301.0	165.0	131.0	30.0	173.0	194.0	302.0	168.0	118.0
T60	84.0	113.0	84.0	104.0	126.0	170.0	152.0	285.0	84.0	56.0	69.0	119.0	38.0	121.0	125.0	72.0	76.0	90.0	58.0	0.0	38.0	192.0	124.0	68.0	69.0
T1059	2532.0	844.0	5623.0	4026.0	4050.0	2484.0	2828.0	1580.0	1466.0	910.0	4207.0	3890.0	5413.0	7409.0	2831.0	2134.0	6689.0	2128.0	646.0	1074.0	2271.0	8315.0	4911.0	2005.0	1910.0
T59	421.0	137.0	969.0	629.0	625.0	674.0	638.0	657.0	377.0	255.0	881.0	1110.0	384.0	2095.0	301.0	299.0	726.0	540.0	414.0	214.0	332.0	411.0	1198.0	591.0	486.0
T133	530.0	172.0	592.0	949.0	1738.0	940.0	583.0	1491.0	489.0	376.0	454.0	546.0	387.0	3144.0	596.0	2940.0	1125.0	269.0	362.0	415.0	1715.0	699.0	3572.0	1461.0	2196.0
T154	109.0	7.0	217.0	100.0	102.0	93.0	12.0	1.0	75.0	108.0	274.0	275.0	24.0	1586.0	473.0	93.0	97.0	16.0	103.0	681.0	64.0	205.0	22.0	40.0	94.0
T109	33.0	69.0	50.0	193.0	205.0	173.0	166.0	600.0	118.0	69.0	25.0	53.0	46.0	112.0	168.0	74.0	78.0	114.0	40.0	64.0	59.0	297.0	121.0	92.0	141.0
T3	225.0	275.0	456.0	425.0	1705.0	1421.0	856.0	1375.0	371.0	366.0	314.0	633.0	276.0	789.0	541.0	277.0	349.0	378.0	121.0	39.0	148.0	1792.0	528.0	314.0	415.0
T317	65.0	73.0	194.0	291.0	95.0	209.0	122.0	103.0	49.0	21.0	101.0	102.0	32.0	76.0	200.0	226.0	364.0	73.0	8.0	6.0	20.0	257.0	111.0	98.0	195.0
